Speaker1,Speaker2
we bought you .,that was me .
weird and tiny huh ?,hi
holy shit !,what is it ?
it s okay ., . . . you look beautiful .
my name s johnny utah !,who cares !
the shot ?,fucking a .
hello sam .,are you all right ?
where did he go ?,the trunk .
sure .,ain t you goin to record it ?
i m in heaven lt .,hook us up to a stand pipe .
hello ?,jim it s lowell .
who says so ?,i say !
graham . . .,i m okay . it s okay .
far away .,kiss me .
i didn t do that .,why ? . . .what ?
you have an active imagination .,i ve been to church hill .
nick have i been a good partner ?,number five with a bullet .
you are well ?,i am .
toast ? no . . .just the butter .,right away .
maybe somebody changed the lock .,like who ?
a factor of age .,i hope i never get that old .
i think i should go back .,joel come here . please .
it just disappeared . literally .,i m sure this sounds crazy to you .
two years .,can he trust you ?
he s not paying you one cent !,who the hell is this ?
what is it ?,it s a b of course .
a name ?,yes a name for the operation .
i told you i m looking for someone .,in the cars too ? !
no i d better not .,sure sure give go .
no keep it .,i love you ! want to marry you !
what do you want me to do ?,i mean for a living .
yeah and get a slave too huh baby ?,i ain t doing bad .
i got kicked in the head too .,oh ?
otis is dead ., otis ?
you just haven t met the right person .,no . i haven t . have you ?
luke . where you goin ?,on my own .
ready .,your hair s a little funny .
anything . . . may i sit down ?,yes .
other people ?,small talk .
one of yours ?,no sir .
you know how this is gonna go !,fuck you i m gone !
she can .,how ?
she s in the other room .,what the fuck is she doin there ? !
i can t feel my legs no more .,me neither . how far is rancho cucamonga ?
how can you tell ?,the way they move they way they smell 
i ll come to the performance .,chicken shit . where were we ?
i m fine . just a few bruises .,so i guess i can go now .
what ?,anything .
the washington post .,no . . .
sometimes . i told you i did .,were you working for him last night ?
that s a beauty !,isn t that great ?
and you re not as we imagined you .,no ?
why ?,don t crowd me craig .
ok .,i ll see you there .
you should lock your doors .,ring the bell before you try the door .
mr . lipnik .,colonel lipnik if you don t mind .
mother of god !,it is also a place of burial .
have you got a print from the hand ?,no sir .
that s nice .,so you re going to michigan ?
put your pilot on .,he s busy being dead .
they re putting me on film tomorrow .,fine .
what ?,out there .
susan and i are very old friends james .,fuck off .
stop that fran .,you ll miss your train jeff .
well technically i did what ya said .,you re a real fucking piece of work .
women .,that sir does not compute .
hey this works pretty good .,thank you .
nick ?,yeah ?
my point exactly .,i m serious here .
yeah well it s a nasty problem .,have another drink .
what is it ?,why are you so interested ?
he did ?,yeah .
what do you want ?,i want to come in .
you have a lot of secrets .,i guess .
and then uh april . . .huh ?,great .
not from me surely . . .,you . . . you re a beast !
 feet . speed two hundred .,okay .
the footprints .,what about them ?
all damn .,just hold your breath .
patch me through to him .,justin .
good . good . we go motel .,no . we go .
summer s over . it s fall .,and winter ?
knock it off . now .,tell him about me shadow ?
uh . . . he knows it .,really ? isn t that a coincidence .
where s boyd ?,downstairs in the closet .
no .,why not ?
what are you running away from ?,why do you ask that ?
would you excuse me for a moment ?,sure .
they re all gone or dead .,they never wrote you nothing ?
i m sorry .maybe i better go dorothy .,yes . frank 
okay fellows .,take it easy john doe .
thirty nine .,remember the gate number ?
hi dad .,hello lainey .
we had a tough year .,yeah nine years straight .
yeah .,what happened to that guy from kentucky ?
don t even . . .i m there .,i wasn t sure .
mr lombard . . .,how are you mrs de moraes ?
i can t move .,just relax .
and they are ?,i want to watch you work .
hello marylin .,i have a surprise for you .
sparrin ?,excuse me .
is he good ?,he s damn good .
you know i don t feel well .,eat your dinner .
what s your favorite movie star ?,burt reynolds .
surge from astern sir . aft quarter !,on screen .
at what exactly ?,my van is half full .
you want me to hunt them for you .,not alone .
they re gonna mock our foibles .,our what ?
this ., what this ? 
no m .,stand by the door .
what ?,will you try to get some sleep ?
do you care jimmy ?,sure i do .
we been through this before ,we should just do it .
i couldn t wait till tomorrow .,how the hell did you do that ?
never drive again !,you said it would be easy !
why can t you be nice to me ?,you ve got enough people kissing your ass .
what is it ?,the good doctor signed our death warrant .
this weekend .,exactly when ?
alright suit yourself .,he s comin back ? . what for ?
say my name .,gabrielle .
so you re going to be a grandfather .,and i m still just a lad myself .
i m making you a steak .,you don t have to help me .
what ?,nothing . let s get outa here .
i better keep looking .,where how ?
what do i do ?,relax . let me do this .
what was that ?,we re supposed to be honest .
i love you john . i always have .,i know mom . i know .
i thought i thought he was dead .,who ?
one week old .,congratulations .
quietly .,you re not the quiet type frances .
no .,maybe a drink would help you .
what ?,candy .
han ?,yes .
don t make me do it .,no you have to kill me .
wha . . . . ?,the box joey . he wants the box .
what do you mean ?,nothin . forget it .
just sing !,sing !
scared ?,no . you ?
i should be checking on the boat .,the war will still be here tomorrow .
it was dead .,it was alive wasn t it ?
look . i know they hate me .,they don t hate you 
yes sir .,show him in .
fear . . ., . . . love . . .
i suppose .,did you have sex with her ?
surprised ?,well . . . yes .
have you ever known anybody a long time ?,you mean a woman ?
can i see it ?,no .
please jill . . . i love you .,go away .
actually i got this spider bite,pretty lame for such a smart kid .
would you like a piece of cake ?,no . no thank you .
you don t think . . .,they ll be here .
nothing for me . i m leavin .,me neither . i don t eat meat .
no i know .,and i certainly wouldn t tell lester .
would you mind taking a walk with me ?,absolutely !
a cloud .,a cloud ?
a mistake ? that was no mistake .,i was lonely . you took advantage
you re tougher .,more confident maybe .
it s a matter of life and death .,this really isn t a good time .
nice work .,there is one problem .
listen to your dirty mouth you fucking whore !,goddamn you !
who do you think did it ?,mimi . . .
carl s a jerk !,he certainly drives like a jerk .
wasn t that close ?,too close .
yeah sure .,i ll call her up .
you fixed my suit ?,you don t trust me ?
the resemblance is amazing .,when may i expect the cleaners ?
who is this ?,tom . you remember ?
hookers beat you up ?,yes .
do you hear something captain rob ?,captain rob came back ?
so very much .,my parents have money . . .
what are you doing here ?,i was lost .
morpheus .,what ?
haven t slept have you ?,not really .
what makes you think he s my friend ?,seen you together that s all .
it knows us . this one knows us .,i need that report lt .
magruder does .,you think magruder wants to hang beside me ?
that s great thanks .,god bless you sir .
looking up at the stars .,yes .
daddy no !,just for a minute
my office .,and where s jackie ?
great .,yeah maybe later . hey ! hey !
they didn t get my contracts .,they excuse me . . .
how do you figure ?,friends gentlemen . they were friends .
are they going to torture us ?,yes .
what s his name ?,mr . bailey .
i believe in that system . . .,do you ? really ?
oh goodness no .,then why are you here joe ?
i hate that picture .,where are they ?
no victor there isn t .,i love you very much my dear .
yeah it s fuckin great isn t it ?,can you believe the songs they been playin ?
no but i can never tell her that .,why not ? mmm ?
no .,i ll loan you a raincoat .
you had to yeah . why ?,to get on the . . .
get well soon .,every day in every way .
why not ?,because i don t want one .
it s going to be great ,do you think i need a haircut ?
you re gonna help us take him .,no chance .
i guess so .,tomorrow night . . . honeymoon on ice .
i completely understand . . .,we just . . .
is that everything ?,yes .
you could say that .,this is a heisted car !
you don t know .,she wouldn t tell me !
videotapes .,i can see that . what are they ?
what ? what is that ?,she called you didn t she ?
do we still get paid for the week ?,you get your money .
this has got to stop !,he escaped . he s going back in .
what s that smell ! ?,vampires my friend . vampires .
funny how things turn out isn t it ?,hilarious .
no .,only on dates ?
okay .,shall we ?
why ?,i ve got something for you .
hey i m you know ,could i ?
you think my play is bad ?,i think it s the best . . .
yeah .,ginger .
who s grown up ?,gee it s good to see you !
you don t care if i die,sure i do
need to go across the water .,do you now .
it s locked .,it s locked ?
oh,the title won t do .
and he still wants to marry me !,he s a brave man .
what ?,do you love me ?
why not sit down and wait ?,okay i will .
yeah ?,i think we ve got a problem .
twenty thousand .,but it s not worth more than fifteen .
i m in the movie business .,you re an investor is that it ?
four thirty . i m meeting a woman .,what s her name ?
hi !,we had a date .
alison .,say hi to zoe .
so what did you do ?,i molested little girls .
son don t ,bullshit bullshit dad we gotta get his money 
father !,my child you re alive !
no . i want to know ., . . . sex .
 really incredible ,here he comes .
yes .,just now . . .
oh my god ! bernie !,dad !
you are ?,yeah come on let s talk .
huh ?,what you doing to my nephew ?
are you sure ? how do you know ?,we know .
is there anything else you need ?,no i m fine . thank you .
it s all over .,what s all over ?
what about us ?,there is no us remember ?
welcome aboard admiral .,welcome home jim .
run daniel ! get out of here !,i m not leaving without you susan !
charlie ,yes ?
oh i am baby believe me .,roy ? it this all we have ?
richie said he was coming after me tonight .,do you believe everything that richie tells you ?
sir i have an opinion on this matter .,i d love to hear it .
i m not dyle you know that !,but tex didn t he still thought !
yes .,and ? are you going to tell him ?
we do .,to oz ?
by whose authority ?,my own .
did you like that mama ?,yes .
you seemed interesting .,who else is interested in me ?
four seconds to impact !,we re outta here !
where are you going ?,we have to get off this ship .
yeah they are but . . .,come on !
 . . . death . . .,love . . .
how did he know ?,know what ?
yeah .,split it ?
after everything .,that s so weird . . .
we ran long .,so run a little longer .
kathryn . . .,yes ?
good god boy ! yell !,yawp !
she would say she knows enough .,how does she know ?
yes .,and you are william taupin aren t you ?
i know what junk is .,yeah ?
what s wrong with that ?,i m not sure about this .
seven fifty .,five hundred .
hey ?,h m ?
it s okay .,why are you up ? get in bed .
never !,then you have no use for the sword .
what do you mean ?,people who will help our cause .
anymore ideas . . . ?,yeah this time you re gonna help !
oh shit we re late .,we ll meet you there .
so had i .,everything is gone now .
how are you doing sweetheart ?,i m good .
oh sure . great .,i ll pick you up .
you have a stunt bottom ?,i could have a stunt bottom yes .
yes .,who am i ?
because i got caught .,no my brother .
so you all make the same mistakes ?,gives us something in common .
you must be a hell a shot .,not where i come from .
you take all your dates here . blake ?,only the real stiffs .
that s right .,then sally comes too .
you better hold onto your tongue !,hold onto this .
it was a condition of getting doug out .,what are you talking about ?
this won t do .,it will do just fine .
jesus god . . .,what is it ?
cover me .,you got it .
more romances for john ?,hmmm ?
are you crazy ? you ll get caught .,then you come out here .
do you have any pictures if her ?,i ve got something better .
i promise .,that s my max .
you don t want much do you ?,can you do it or not ?
that s absurd !,that possibility never occurred to you ?
yes .,then let us prepare .
where did we first hear th . . .,the night we met .
is that me ?,that s you .
two weeks from tomorrow .,you re going ?
the best .,i must have been out of my head .
great you re here .,hey jackie .
yes .,your name is al . . .
nothing .,what d he think it was to you ?
yes .,does it make you . . . hard ?
what d you tell him ?,yes .
who s this ?,he works for me .
hi .,hi .
for how long ?,oh i hope a long long time .
didn you get no sleep ?,no .
come here ,what ?
why are you shaking ?,with pleasure at finding the ribbon .
maybe you should think about it .,what s that mean ? !
i m very nervous .,why ?
what report ?,huh ?
gonna have to put up cash .,you have it with you ?
don t move you bitch . . . !,i have to show you . . .
why ?,good question . you took the bait .
what the ,betcha didn t predict that .
it s clean .,check the immediate area .
bearing !,bearing range nautical .
you a student ?,not exactly .
dem white boys giving you a hard time ?,nuthin i can t handle .
the emperor has been expecting you .,i know father .
yes ?,do you like massage ?
yes . the lipstick .,why ?
yo .,how s the ice break ?
what ?,i want you to come with me .
what about you delly ?,i am too .
you really don t remember ?,no . . . i told you .
you know what i really like ?, . . . what s that ?
they all are . football s on .,keep em there for a little while .
you know better than that .,it s on national television barnett .
i thought you d think it was crazy .,it is crazy !
why not ?,let me rephrase i won t do that .
what ?,i just wish it was that simple .
yes ? ! to be married i suppose .,yes .
what ?,just kidding . are you alone ?
what happened ?,you been in a fight ?
great jacket teddy bear .,yeah ? you like ?
i know a guy .,lead the way .
dead poets honor .,what is that ?
you got a gun ?,of course .
viktor you should have said something .,she doesn t want pity .
we re never gonna make it .,shut up and open the door .
not caesar .,why ?
ah won t you sit down ?,thank you . cream ?
you mean like a trip ?,yeah sure whatever .
i can t .,i m thinking dorsia .
of course . when ?,i mean home . india .
i thought we both wanted the same things .,i ve changed my mind .
poor george . . . sit down .,sit down ? what are . . .
feels good .,i m gonna go get the money .
call the police ?,instantly .
this is yours . . .,if you want to keep it you can .
ohh ?,uh oh .
what s wrong ?,i m picking up another signal .
good morning .,morning neighbors . morning .
okay whatever you think but not venkman .,oh no .
what time is it ?,about eight o clock .
yes .,and she wanted to talk .
what about us ?,there is no us remember ?
well . . . yah .,know who this is ?
bullshit i ain t goin anywhere with you !,bullshit you re out of here cowboy !
we got to burn em .,now hold on you dumb . . .
please ! something ! oh god !,maybe if i 
hold it hold it . . .,what s wrong ?
are you all right ?,i ve been better 
it s a no go joe .,marylin !
thank you sir .,i ll take one .
so what are these spanish guys like ?,i wouldn t know .
i just told you . she called me .,and what d she want ?
do you think he knows about this ?,i don t know .
nothing . . .,then what s going on ?
this week .,ever again .
exactly ! now ask me what i see .,what do you see ?
your mom made a move on me .,she did not .
you took that money from julia s hand .,i didn t .
what if they serve soup ?,they will serve salad .
he just came up screaming .,did he say anything ?
it s ours .,to keep ?
i want my car .,you got the money ?
tomorrow at the gym . don t forget .,right the gym .
fuck maxine .,we wish .
right through those doors . the man himself .,jesus . . .
we have a murder ?,charley wade .
you workin on another book ?,yes i am .
charlie called .,yeah ?
sorry sir . can t do it .,that s an order .
i m a little late that s all .,how late ?
here you are sir .,what ll i say ?
come on .,you gonna tell me why ?
where did it go ?,run .
love .,have you ever loved anyone ?
in what way ?,i dunno . just funny looking .
twenty eight years ago .,follow me .
okay ?,i m fine . i m
mom ?,yes dear ?
no but ,am i wrong !
yes . go ahead .,what the bloody hell plan is this ?
sheila please .,come on theo what about plan c ?
you going to have the time ?,i ll find the time .
are you watching a porno movie ?,no .
i m sorry .,for what ?
six weeks .,six weeks !
some party .,maybe we should do something ?
i can hardly wait for your wedding .,me either .
but you want days too .,all right two thousand .
wash her .,what with ?
no .,why ?
why i don t understand ?,to begin with it could make things worse .
i didn t expect anyone .,no reason .
you can start monday week .,fine .
want a bite ?,no thanks .
it s time .,with or without him we gotta go !
more than you need me .,i need it .
ellie .,peter .
what the fuck are you doing ?,i i ll tip her .
you okay ?,yeah just a nick . . .
yes ?,please stay .
uh listen willie i got a better idea .,what ? !
no it will turn out well .,how will it ?
barks at his master .,what happened ?
what do you think ?,alright stay on the phone .
california huh ?,california .
tell him we re busy .,i tried .
no . . .,you can tell me .
can i use the car tonight ?,of course jeffrey .
linnea ?,yes . who s this ?
prepare for warp speed .,ready sir .
yes ? you re dressed . . .okay .,you didn t give them a name .
scully get somebody to open this door .,nice try mulder .
home !,home ?
no . . .,who was kay seeing besides randy stetz ?
my fault !,she s new in town .
how did you know that was me ?,i have a friend at the magazine .
being here with me .,i know .
will it change your wife ?,will it change my life ?
well what ?,this saturday you coming to call or what ?
i mean it . take care of it .,i will dad . bye luv you .
no .,you have nothing to hide .
yes .,did you want it to come out ?
what is it you want ? what ?,i want us to go out .
like a used car salesman .,thanks . what s in there ?
soon .,yep .
it s getting late and . . .,don t talk to me ! !
i just told you .,i mean it s not true is it ?
i m not sure .,but you did it anyway .
you look beautiful .,yeah ? give me a goodbye kiss .
i don t have any .,use my credit cards .
but they both worked at the white house ?,i will not talk about the other two .
yes sir .,looks good . how much did it cost ?
just giving credit where credit is due .,you have no one to blame but yourself .
we were both seven in .,so was i .
what you want ?,open up !
social work ?,how d you know ?
did you like it then ?,how could i not ?
computer device ?,unlikely . probably cash register or something .
do you have any children with anyone ?,what ? no rose jesus no 
where are you going ?,i have to get out .
where is he ?,where he always is .
where are you going ?,hunting .
so i took his truck yeah .,yeah .
not my birthday again ?,you re only six five once .
must ve been a cheap date .,soap convention .
hey shut up .,get him in .
have you examined them ?,no . just fossils far as i know .
aren t you glad ?,when ?
i ll call you .,when is that george ?
what am i gonna do ?,listen what s your name ?
fuck you .,i wouldn t talk .
guilty until proven innocent ?,mother and father know best .
ow ! you shot me !,right . okay . moving on .
here have a sandwich .,fuck you .
what did they give you ?,a job . construction . twelve an hour .
brilliant . word perfect i d say .,what do you think ?
you will tell the truth ?,absolutely 
i know you .,you know my back .
you picked another winner !,well that s good isn t ?
what ?,but it s not enough !
frances .,where s clifford ?
suck !,wrong answer ! no prize .
aye . . . my lord . . .,rise screwball and into the basket with you .
what about thomas ripley ?,what about ripley ?
listen sucker yuh ever been broke ?,sure . mostly often .
yes .,where ?
no .,why ?
what s that ?,our other dinner guest .
uh huh why ?,see food !
you need to leave .,i know everything about you diana .
what is it ? ! !,spider .
i bet you fucking know !,it cost us .
drinks are free right ?,yes . would you care for another one ?
he has taken the presidential suite .,what ! paul storms off .
five years .,beautiful . how s business ?
married ?,tell him vince .
no .,you look nervous .
no . i never date outside my race .,i meant you re into ghosts .
maybe you should see a shrink .,i want my money .
you re good .,thank you .
driver !,yeah ?
two hundred .,what ?
you gotta stop thinking like that .,then where are you going ?
oh . well what s it on ?,a cloud .
you re a comedian ?,yeah .
what about miss lawson ?,yes cocaine .
i don t you did .,really ?
bigger than dejesus ? how ?,it s had a meal .
how s your leg ?,mmmm hurts a little .
in mr . sampson s office .,now don t you worry about it .
you mustn t speak of . . .,silence !
i don t know . some disease .,what disease ?
chief it s mikkelson .,go mickey .
he wants your wisdom .,let s have dinner first .
is this dangerous or anything ?,no more than the usual .
don t make it worse dad .,always .
hey barney .,mr brown sir 
explain it . . . i told you .,shoot him .
shit ! go !,go commander .
fooling around ?,right .
so long suckers .,wh wh where ya going m m mac ?
could be this .,push it . hold it down .
doesn t your foot hurt ?,i can t feel a thing hon .
how about our last jay ?,good call .
i never lied to you .,i know .
maybe two cars .,a car sounds sensible .
i ll make it worth your while .,it s a rule .
what s the point ?,this isn t done . get up .
i don t think so .,you re sure . find out for me .
is it over ?,no .
what ?,i saw him walk you home .
really ?,of course that s what friends are for .
you re not going to drive !,it s my goddamn car !
you okay ?,yeah .
am i gettin the car ?,you re gettin the car .
nilsen ?,that s him .
keep it between us girls ?,what s that fucker ever done for us ?
no it s coming .,can you see anything ?
i umm came to see you .,you know somebody around here ?
boy oh boy you re a mess .,yeah .
only silence . it s always like this .,and no birds sing .
i was freezing from the hurricane ,so you took off your shirt ?
you ll wake the whole neighborhood !,don t you threaten me !
what happened with rick ?,we ll discuss it later .
she needs to be changed .,i changed her already !
ebby calvin laloosh .,you need a nickname .
yes sir .,do you understand me ?
that s alright we got a pressing engagement !,yeah right outside the door !
priests keep pretty tight mouthed then ?,that depends .
mornin son . . .,mornin daddy . . .
kings ! why honey there was only one .,i mind you said there was two .
you scared me .,sorry . you okay ?
according to my information today .,thank you captain sulu .
i can wait around if you want .,no . that s cool man .
damn huh huh .,yeah heh heh . damn right !
her ?,are you ?
fezzik are there rocks ahead ?,if there are we ll all be dead .
excuse me ?,i said i m not my sister .
oh . you have to tell me that .,what ? ! i can t hear you !
what other one ?,you can t do this to me !
i don t want to hurt my daddy .,robin listen to me .
oh thank you .,my pleasure .
still angry that i kissed ya huh ?,if you call that a kiss .
how come you took your own car ?,i didn t want him meeting me here .
you mean baron von gaigern ?,baron !
who s in back ?,l .a .p .d .
another young man .,it s the same one .
somebody say somethin ?,i didn t say nothin boss .
i want to try .,what ?
it s there !,what ?
i just woke up . i m sorry .,you just woke up !
you won t get hurt . . .,elijah was wrong .
hey .,what s up ?
are you honest ?,jack !
why ?,we re not sure .
yeah ?,big subject with me yeah .
to the place where death lives .,it should be an interesting journey then .
yes i did i m sorry .,no is regan aware of it ?
same here .,you re sure ?
holy shit . . .,justin ?
and not too expensive .,yes . . .
i hate the beige one .,don t wear the beige one .
we re going to get some food .,are you out of your mind ?
do you have a name ?,victor .
gunshots there were some gunshots .,where ?
i m not the maid !,way to go mom !
 yeah a hand or something , coming out of the water 
what s left of it .,mind if i have a look ?
hey neighbor . here s to ben .,here s to ben .
don t know broussard got hurt somehow .,hurt ! how ?
four more . eleven people . so far .,you think there s more ?
i said stop it .,ask me to meet you again jimmy .
you think drew will go for it ?,quince i ve got confidence in you .
you want this ?,just for the honeymoon .
what about them ?,i know a shortcut .
i don t like her .,i do she s real funny .
like this .,okay . okay .
you re full of shit !,i m telling you they changed it !
i don t get it .,you haven t told him ?
oh no .,it s u your u turn darling .
right .,so he killed himself .
jim i won t stand for it .,you won t stand for it ?
hi .,hi .
hello lieutenant . good to see you .,you too lieutenant .
luck jim . don t forget .,have some cigars .
what ?,this 
your mom made that all by herself .,no kidding !
how deep is the ocean ?,very deep . . . usually . . .
then the informant is real .,does that surprise you ? it was inevitable .
what ?,you heard me . you two especially .
they re yours .,they are ?
but you re the more intelligent one .,that s true .
but where is that ?,i can not tell you .
don t call me brother .,okay sister . no offense . no offense !
do too much i ll die .,do too little you ll die .
about what ?,whatever it is .
let go !,stop being nuts !
there s something weird going on here suzie .,no shit .
we were going to start again i think .,don t you already have a girlfriend ?
you quittin friend ?,yeah i m quittin .
hi daddy .,what s new ?
we have matching luggage .,what ?
i ve got to talk to you .,sorry i m way behind .
well your thinking s not so good .,how do you know ?
half of everything is mine .,ace listen to me .
for how long ?,perhaps an hour perhaps a little longer .
what ?,i need a favor .
can i walk you home ?,i think i could do that alone .
you ever get em ?,well i think i had one once .
who was the father ?,i haven t a clue .
this is just show and tell .,i m waiting for the tell part .
right . what about condoms ?,professor !
ya puttin me on right ?,absolutely what time should i expect you ?
helping people makes me happy .,i m not convinced you should be happy .
you owe me three fifty .,really .
yeah but ,am i wrong ! ?
no thanks .,no thanks . what does that mean ?
then why aren t you eating ?,would that i could .
something bad happened here murphy .,that much i think we ve already established .
that s a big question .,i hope it wasn t something i did .
this is a different one .,a different one you haven t written ?
he s home . i heard the car .,are you going down there ?
 . . .are followin him around .,prob ly the rain boys from outer space .
where ya goin ?,away .
we re gonna die !,arlo shut up .
okay i guess .,how about dinner tonight ?
four or five years .,no the last time was three years ago .
hurry !,just like that ?
it s ready now i know it is .,she says it s not .
yeah yeah . good thing .,okay .
nice looking group .,listen at least it s warm in here .
oh shit .,someone pop your balloon ?
sue them .,i ll sue .
ain t gonna be no trouble .,you ain t to hurt them fellas .
honey . . . you all right ?,no .
worried !,there is nothing to worry about now .
go away i don t want you here .,is someone in the room with you ?
that s hard to believe .,but absolutely true .
gear shift .,gear shift .
hey hey !,i m married .
did i say thanks ?,no .
what are you doing .,low on gas . got to refill .
don t do that ! !,sorry .
shut up .,i can t stop thinking !
four hundred four fifty ,more .
 . . .gger ., . . .gger .
you wanted by the law or somethin ?,naw it s okay .
he s better though right ?,he s better .
yes sir !,maybe there s hope for you yet .
what ?,it s working .
how long have you been married ?,two years .
and that is ?,what am i doing ?
a . ,he swore by it . what ?
you didn t tell him about me ?,no .
the driver will . . .,but i speak english .
no .,maid ? relative ?
excuse me andy . . .,yes your holiness ?
how d you know i was here .,who else d be in your truck .
why didn t you say so before .,i think i did .
i might .,is that so ? you might marry me ?
i saw you on your bike today .,with mikey ?
this is how you pick up women , no .
don t cry .,get out of here .
i would also like to apologize .,for what ?
and your wife ? where s she ?,she s dead .
pop asked you .,i m gonna kill somebody today .
no .,who needs dancing ?
what s plan b ?,plan b is your dad .
i was leaving .,that s probably a good idea .
so why d you give up ball ?,why do you keep asking me that ?
hanover listen . . .,shut up !
i didn t mean to hurt you .,shhhhhh . now i have your disease .
yep ?,the little girl s name .
which one pulled the trigger ?,the indian . i was about yards away .
this man s still alive .,technically and biologically though he ll never recover .
that s . . .,everything i . . .you know . . .
excuse me miss daniel ?,i said yes i see .
i know that .,i ll come back all the time .
how serious ?,it s uh it s under twenty five .
to preserve their way of life .,would you go to war to do that ?
this murder was in the papers right ?,yeah . all over .
you hate women .,false .
we provide whatever s lacking .,and if nothing s lacking ?
what color ?,gray .
about what ?,whatever s on your mind .
i ain t no preacher anymore .,all right you remember the man then .
you stole a trans am .,yes . i did .
you said nobody came in here !,obviously i was wrong !
my lord .,come in admiral .
like tonight .,for sure ?
you re one of william s kids huh ?,his only kid .
please leave .,mary come on . . .
but where would we go ?, . . . lover s lane .
that s all i ever wanted !,then i will teach you .
that s our farm !,oh yes .
but you know where you re lucky ?,absolutely not .
you re married .,not anymore .
i like cows .,you re a beautiful big animal .
shut the hell up .,bible truth .
what happened ?,young woman cut herself .
that s it ?,yeah .
no .,well do you like him ?
ha ha ha . hoo hoo hoo .,i mean it .
yes . . . ?,should do something to them .
well that s different .,if you ll follow me professor 
 . . .pete ! come on .,come on old pete . oh .
how d he die ?,bus hit him .
where is the money ?,don t tell him 
i hope she gets better .,i ll tell her that .
he didn t make it .,huh ?
the hats .,a beret .
i m sorry katharine .,i know .
well until you know you can t go .,oh okay .
jabez help !,coming .
she s so damn . . . english .,meaning what ?
nobody leaves .,observe .
do you got something for me ?,you betcha .
i don t think i want any .,i do .
russia .,when did we get it from them ?
who drove the ice cream . . ., . . .truck that kept elvis cool ?
each day is a little life .,what ?
yes .,why ?
tank charge the e .m .p .,yes sir .
the same way you did before .,what are you talking about ?
no .,well what then ?
i see .,yeah . well maybe i ll change it .
buff . . .,what ?
well ?,she needs a little time .
i don t know i think . . .,look would you argue with your doctor ?
miss daniels ? is that you ?,yes .
yes .,what color is that hedge of yours ?
all right dad .,well put your seatbelt on then .
oh yeah . fine .,thanks a lot ted .
aren t you ever tempted to gamble ?,never . why do you ask ?
yes miss ratched this is correct .,but you have no proof .
how far out of town ?,trust me . we re safe .
yes .,my god it s a mansion !
hi walter .,how s business ?
uh . . .what channel were you watching ?,what are you talking about fella ?
i told you i ve never driven before !,never drive again !
worked didn t it ?,you tryin to get yourself killed ?
i swear to god .,but i found the money .
you got me . afraid of bad news ?,nope .
just the last three weeks .,that s not a bad place to start .
i don t care .,i don t care .
i ll pick you up in . . .,i won t be here .
as soon as you get dressed .,what kind of food ?
we ve still got to find the mainframe .,no we don t . . .
let me guess you wouldn t stop talking ?,someone gave him more money than we could .
hello .,it s me .
bob bob stick to the business will you ?,no you re absolutely r . . .
what ?,i thought i saw . . .
yeah . i think it s really sick .,why ?
i was upstairs !,i never saw you 
is there one in these waters ?,what makes you think there might be ?
what are you ?,i don t know .
no .,do others feel that you did well ?
oh i ve got plenty .,i d like to hear them .
karen ? you okay ?,she can t talk right now .
yes .,we re not actually talking about it .
you mentioned that in your letters,i always thought you d follow me up .
bob . are you coming ?,see you in a little while .
quit my job .,great .
your brother huh ?,yep .
where are you ?,jean i m not 
alone ?,how big can it be ?
i had to change . did anyone call ?,just some asshole trying to scare me .
this is matt hooper . . .,i know who he is . . .
have you seen debi newberry ?,nope .
ow shit . . .,watch it . . .
is that so ?,as one tribune man to another 
good . how s your mom ?,ok i guess .
bye . thanks .,remember get the seat fixed .
come on theo what about plan c ?,what s plan c ?
i could always get us a bottle .,no .
you think i m kidding ?,dreaming .
oww ! why d you do that ?,you told me to .
so where are you from ?,get lost .
the guy s in a coma bob .,i don t give a shit .
i m doin business here !,but there s . . .
yes who spoke up ?,i did sir .
why ?,because i want you to be happy .
boss i got all the time you need .,i know about you .
no i ,twenty .
well what do you want to do ?,i think i ve studied enough .
what kind of vacation ?,it s different every time .
i m going home .,your farewell to the troops ?
morning darling .,morning .
sweet .,dying .
i know . amazing .,can we show him pilgrim tom ?
tell me .,your mother mates out of season .
crash i didn t think you ,i ll learn . c mon 
i paid for it .,god dammit .
something wrong ?,i m a little dizzy . . .
ouch . .,what s wrong ?
my father has a gun at home .,no .
how d we do ?,a .d . is a c .p .a .
what s happening ?,good luck buzz .
how long were you with the girl ?,forty five minutes .
hi .,hello . are you still mad at me ?
dr . winkel told me that .,dr . winkel ? who is he ?
no !,yes !
i could . you sucked .,hey . fuck you .
then when ?, . . .tonight !
who s this ?,pamela landy again . where do we stand ?
i ve been thinking ,oh god .
linda yeah .,you call me linda just like home .
i know that .,yeah ?
i ordered you to defend this ship .,you ordered me to kill my brother .
well he told me to collect cash .,andy . another fuckin . . .
in thirty five minutes .,christ !
zinnowitz would you say she was pretty ?,pretty as a picture .
i m here .,who is this ?
dick laurent ?,yes i believe so .
you ll always play with me ?,whenever you want .
who are you ?,james t . kirk captain of the enterprise .
what s she want ?,she wants to go back to work .
peter you took this picture ?,let me see .
not that way .,not any way .
yes sir .,have you been checked out ?
yes .,you killed him didn t you joanne ?
torch them ! !,but . . .
i m de . . .,i know who you are .
no ,the queen invited you to dinner 
there s not enough room .,then run him over he ll move .
he s alright .,i know .
and you are william taupin aren t you ?,yes .
may i be present ?,of course .
who ?,my . . . husband .
